"region_final1","date","specimen","h3n2","h3n2_LL","h3n2_UL","bv","bv_LL","bv_UL"
"Temperate regions (SH)",2017-02-20,2103,153.121621621622,151.057975146772,154.877397895422,16.8333333333333,3.16425271309261,28.4366297119723
"Temperate regions (SH)",2017-02-27,2103,120.034420289855,118.28912131753,120.966630878845,7.66666666666667,0.338370288027676,17.0607472869074
"Temperate regions (SH)",2017-03-06,2459,148.166666666667,146.85598522344,148.907222346539,10.3333333333333,2.36352852221453,20.7445195208906
"Temperate regions (SH)",2017-03-13,2760,160.526086956522,158.436853573518,161.729378739885,15.3571428571429,5.80771868292742,26.0373457899768
"Temperate regions (SH)",2017-03-20,3066,148.98962962963,144.863539647526,151.873675739513,14.8,3.93944288170276,25.8838869891477
"Temperate regions (SH)",2017-03-27,3365,196.91,191.220378712294,200.115499151005,17.5,6.5422300692769,30.1857858094297
"Temperate regions (SH)",2017-04-03,3574,269.577733860343,266.93074525533,270.869522389707,29.1222222222222,13.9565417652079,43.2968295825189
"Temperate regions (SH)",2017-04-10,3191,275.936363636364,272.365169405278,278.316194003045,26.55,15.826754496221,37.9522780413726
"Temperate regions (SH)",2017-04-17,4082,247.579545454545,242.954693451942,249.660095836324,27.7708333333333,16.3119830811242,40.8889251545983
"Temperate regions (SH)",2017-04-24,4104,224.742608695652,219.404153542812,226.936436936534,29.8166666666667,13.5416713158756,52.2908819415604
"Temperate regions (SH)",2017-05-01,4418,271,267.244881964565,272.930508365382,43.0779220779221,26.035795701928,64.1711273520027
"Temperate regions (SH)",2017-05-08,5027,371.779099923722,366.804022887287,374.092387080289,26.4523809523809,5.80138500657994,48.7170855997855
"Temperate regions (SH)",2017-05-15,5473,504.283887317303,498.726905874346,507.678904049226,30.8333333333333,14.3669735655762,50.5898931636594
"Temperate regions (SH)",2017-05-22,8303,687.307317970171,677.582397170615,694.789931570905,22.3857142857143,2.93593425604198,47.0512681768376
"Temperate regions (SH)",2017-05-29,7875,894.691991341991,888.107424164566,899.323186036736,28.3055555555556,8.60699141446194,54.7480941649215
"Temperate regions (SH)",2017-06-05,8939,1225.28463117925,1218.270613236,1229.48713936395,59.7383838383838,24.7940656094946,102.44353562605
"Temperate regions (SH)",2017-06-12,9707,1385.8130324347,1379.90983548063,1389.34919212798,46.9285714285714,18.2463840854376,84.1388299498658
"Temperate regions (SH)",2017-06-19,9629,1415.89723442161,1406.18983458536,1423.18285256355,62.5083333333333,23.7024677097658,106.810230939342
"Temperate regions (SH)",2017-06-26,9427,1252.90811688312,1241.9988459818,1260.82359095245,62.4751131221719,23.0141443871981,107.701285982237
"Temperate regions (SH)",2017-07-03,9219,895.682530356444,878.493313225018,908.231918695372,57.0963636363636,15.6633267885044,102.750454305569
"Temperate regions (SH)",2017-07-10,8899,790.820216216216,769.760763697637,806.776233029875,58.6524767801858,14.9392452414712,105.940505686369
"Temperate regions (SH)",2017-07-17,8261,705.682875129339,673.176232495918,732.066989773286,49.0383186705767,4.4416828804311,98.2386503587551
"Temperate regions (SH)",2017-07-24,7743,611.868961352658,578.388646964407,637.521844817468,63.8568223443223,15.9080937106593,114.982277739912
"Temperate regions (SH)",2017-07-31,7221,589.647832355061,547.45887318297,622.88698020434,95.88,14.8575472288151,179.271126967702
"Temperate regions (SH)",2017-08-07,6888,697.066607697042,655.268598234757,728.483970440328,125.657489177489,15.0143967390182,238.636691350794
"Temperate regions (SH)",2017-08-14,7427,651.354359925788,612.239818802703,684.377842612585,137.192696192696,12.6534660622151,265.758989899629
"Temperate regions (SH)",2017-08-21,7122,687.228395061729,652.871596845716,713.974699771409,137.31884057971,20.1399398171774,258.182775372448
"Temperate regions (SH)",2017-08-28,6801,585.582515337423,557.106767187028,609.21816969703,123.729240777339,9.54500608044216,242.925039852694
"Temperate regions (SH)",2017-09-04,6585,682.678832116788,663.440402504714,699.238425576405,134.704367201426,7.58110783659892,267.793120226167
"Temperate regions (SH)",2017-09-11,6373,621.122395833333,598.50960473881,639.890235827071,125.27940626461,11.472491947789,243.48680203103
"Temperate regions (SH)",2017-09-18,5939,481.070114942529,462.878453891012,496.692595124906,129.363026819923,14.0043401605731,248.604781474398
"Temperate regions (SH)",2017-09-25,5452,298.430555555555,282.669489741502,313.166267444884,112.884615384615,8.89395634054987,223.819991966057
"Temperate regions (SH)",2017-10-02,4808,217.589430894309,208.748992744444,225.428622666237,81.4835164835165,8.69217159706867,163.571913757628
"Temperate regions (SH)",2017-10-09,4352,159.090909090909,152.146094090736,165.019348606655,64.5762195121951,7.02590314830647,132.483040780527
"Temperate regions (SH)",2017-10-16,3951,123.942528735632,121.757317483836,125.405449226565,45.1203703703704,5.78724272369063,91.9563230273393
"Temperate regions (SH)",2017-10-23,3662,116.130952380952,113.758113145362,117.639984197174,37.0333333333333,6.0434110305166,75.0088860956699
"Temperate regions (SH)",2017-10-30,3483,82.4615384615385,82.0623991751243,82.7677194444835,42.6063218390805,7.97325814364854,80.7859829961831
"Temperate regions (SH)",2017-11-06,3352,65.6231884057971,63.6234505673585,66.7574516642111,42.0287356321839,10.1940794982679,77.0934159843145
"Temperate regions (SH)",2017-11-13,3192,78.7202380952381,75.9818825428719,80.415829138914,21.6416666666667,2.1478840447536,45.4029015816941
"Temperate regions (SH)",2017-11-20,2725,60.8269230769231,59.5867431300238,62.2607089497001,27.0444444444444,5.44403834673708,53.4297851100417
"Temperate regions (SH)",2017-11-27,2737,56.3627450980392,54.1636556829059,58.6316812737956,27.143137254902,4.6208065397082,53.9552732861272
"Temperate regions (SH)",2017-12-04,2296,70.0588235294118,69.1741738150736,70.7093518469885,26.3095238095238,9.88774303625591,45.4520558553128
"Temperate regions (SH)",2017-12-11,2256,47.75,45.3134468880902,49.8150042244606,29.8333333333333,12.7691710056964,47.0852942283886
"Temperate regions (SH)",2017-12-18,1953,42.3571428571429,40.6038880145703,44.0138377909936,22.6666666666667,4.23358206388191,40.9972550494737
"Temperate regions (SH)",2017-12-25,1798,47.5,46.7220617336868,47.9336963462397,25.1111111111111,2.23886628668674,48.5867915757336
"Temperate regions (SH)",2018-01-01,2234,58.8103448275862,56.3961805768555,61.2493101627394,24.025,11.5132026848483,37.4857780268436
"Temperate regions (SH)",2018-01-08,2291,42,38.8344183758921,45.1655816241079,17.9,7.23000386476415,29.0967810934362
"Temperate regions (SH)",2018-01-15,2317,57.2894736842105,55.2813862409186,59.0410081824571,17.9358974358974,3.98057622166113,33.848154722822
"Temperate regions (SH)",2018-01-22,2247,47.3,42.4349655041878,52.0134049685409,19.9166666666667,1.90898454480414,39.8119598172342
"Temperate regions (SH)",2018-01-29,2417,59.4923076923077,57.0676939108722,61.1739529686405,18.5,2.5244091094737,36.3205228501256
"Temperate regions (SH)",2018-02-05,2320,61.7222222222222,58.0850672679542,64.8936448562968,16.5,5.02864148259835,28.5061066629508
